asset_id,ifc_class,name,canonical_class,class_confidence,flags,primary_flag,true_class,review_status,reviewer_notes,review_timestamp
33dd0072-cf37-5934-8e8d-749944350400,IfcSlab,M_Pile-Steel Pipe:600mm Diameter:512447,Foundation_Slab,0.9,INCONSISTENT_NEIGHBOR;OUT_OF_RANGE,INCONSISTENT_NEIGHBOR,,PENDING,,
50422562-4c92-5150-bc76-9e7d145b2b18,IfcWall,Basic Wall:MW 11.5:573605,Internal walls,0.9,INCONSISTENT_NEIGHBOR,INCONSISTENT_NEIGHBOR,,PENDING,,
4c6ed9e2-7ba4-57bd-a5bf-1df436fb92e8,IfcDoor,Drehflügel 1-flg - Stahlzarge:88.5 x 2.26:575886,Doors,0.9,INCONSISTENT_NEIGHBOR,INCONSISTENT_NEIGHBOR,,PENDING,,
3024ff38-e6c4-5edf-a2dc-c1c26be8bf96,IfcAirTerminal,M_Supply Diffuser - Rectangular Face Round Neck:600x600 - 250 Neck:490379,Air Terminals / Grilles,0.9,MISSING_REQUIRED_PROPERTY,MISSING_REQUIRED_PROPERTY,,PENDING,,
c315bfb9-7777-5bb4-a028-cc2af11332ab,IfcCableCarrierSegment,Conduit without Fittings:Rigid Nonmetallic Conduit (RNC Sch 80):688547,Cable Tray,0.9,,,,PENDING,,
6293c17b-2244-58cf-9126-01eb4c8f404d,IfcCableCarrierFitting,Conduit Elbow - without Fittings - RNC:Standard:683837,Cable Tray fittings,0.9,,,,PENDING,,
4b010c47-c97f-518b-b99c-b11a55a9a9d2,IfcWall,Basic Wall:Wall - Timber Clad:427092,Internal walls,0.9,INCONSISTENT_NEIGHBOR,INCONSISTENT_NEIGHBOR,,PENDING,,
8ce86c7b-043c-5715-baa0-3b7502bc87c3,IfcWall,Basic Wall:Retaining - 300mm Concrete:765620,Internal walls,0.9,INCONSISTENT_NEIGHBOR,INCONSISTENT_NEIGHBOR,,PENDING,,
2dd74aba-28b5-5d59-92af-72e2a57b327d,IfcWall,Basic Wall:Interior - Partition:430064,Internal walls,0.9,INCONSISTENT_NEIGHBOR,INCONSISTENT_NEIGHBOR,,PENDING,,
fab2364a-edae-58e4-902f-f7df9c498daa,IfcPipeFitting,M_Transition - Generic:Standard:732572,Piping fittings,0.9,,,,PENDING,,
e2c7ec10-260c-550c-bffc-b8b917d6c5cd,IfcPipeSegment,Pipe Types:Standard:529092,Piping,0.9,,,,PENDING,,
51e26b81-1814-5c4a-b7c8-c9e000697f4a,IfcSlab,M_Pile Cap-600 Pile:600 x 600 x 900mm:512522,Foundation_Slab,0.9,INCONSISTENT_NEIGHBOR,INCONSISTENT_NEIGHBOR,,PENDING,,
296fe11b-85d3-55e8-b5d8-fb201f1d3027,IfcPipeFitting,M_Pipe Transition:Standard:528119,Piping fittings,0.9,,,,PENDING,,
d391ce0f-3cbf-5ccd-a234-0a5d795a5f13,IfcSlab,Basic Roof:Warm Roof - Timber:724430,Roof,0.9,INCONSISTENT_NEIGHBOR;MISSING_REQUIRED_PROPERTY,INCONSISTENT_NEIGHBOR,,PENDING,,
d7eb02ad-0055-5368-886d-94246e88b167,IfcWindow,Windows_Sgl_Plain:1810x1210mm:287567,Windows,0.9,INCONSISTENT_NEIGHBOR,INCONSISTENT_NEIGHBOR,,PENDING,,
c41c97f0-2630-5319-8dbe-729727f53b03,IfcPipeFitting,M_Pipe Elbow:Standard:530992,Piping fittings,0.9,,,,PENDING,,
141e1f3c-9d00-553a-8df6-8e410a28d8be,IfcWall,Basic Wall:MW 17.5:576035,Internal walls,0.9,INCONSISTENT_NEIGHBOR,INCONSISTENT_NEIGHBOR,,PENDING,,
d63be5b7-58cb-5631-8a3c-7dc268a01e95,IfcPipeFitting,M_Elbow - Generic:Standard:726683,Piping fittings,0.9,,,,PENDING,,
00aa3127-1e06-511b-866e-ec826e4e5a5b,IfcPipeFitting,M_Elbow - Generic:Standard:733241,Piping fittings,0.9,,,,PENDING,,
4e0e2987-a35b-5e13-b6f6-988b37eae380,IfcLightFixture,M_Sconce Light - Flat Round:60W - 277V:502513,Lighting Fixture,0.9,,,,PENDING,,
b0d878c5-2075-5ba2-8931-03e07e76f72e,IfcBeam,Rectangular(Timber)-Beam:Timber_50 x150 _ContentGenerator:1417432,Beam (Concrete),0.9,,,,PENDING,,
7965d47e-35e1-55e5-bde0-982264ac839f,IfcDoor,Drehflügel 1-flg - Stahlzarge:88.5 x 2.26:575092,Doors,0.9,INCONSISTENT_NEIGHBOR,INCONSISTENT_NEIGHBOR,,PENDING,,
fb212f54-c27d-52bc-8410-e6d09c1df2dd,IfcPipeFitting,M_Elbow - Generic:Standard:733277,Piping fittings,0.9,,,,PENDING,,
c9cbe4dc-dcfd-5f8a-b5e7-b1a75d4fc83c,IfcBeam,Rectangular(Timber)-Beam:Timber_50 x150 _ContentGenerator:1417308,Beam (Concrete),0.9,,,,PENDING,,
2307a112-34d6-5d77-82cc-c4b893abc03d,IfcPipeFitting,M_Pipe Elbow:Standard:529620,Piping fittings,0.9,,,,PENDING,,
b2d92232-dab1-50fd-bcbf-d16958b1f382,IfcPipeSegment,Pipe Types:Standard:531004,Piping,0.9,,,,PENDING,,
