asset_id,ifc_class,name,canonical_class,class_confidence,flags,primary_flag,true_class,review_status,reviewer_notes,review_timestamp
07a97583-6e4e-555a-8528-514ff8e1a3f8,IfcFooting,house - foundation,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
45f68ad8-dfc2-55d8-b0e2-7829afa423a3,IfcFooting,foundation - bridge road,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
f4f96304-b0a3-5a79-b596-c501acb47373,IfcFooting,foundation - bridge road,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
16f4681c-1684-5ad0-ac99-2543cffd9c51,IfcFooting,foundation - bridge road,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
d2367fa7-43ec-516a-a9f4-5baa6165ff68,IfcFooting,foundation - bridge rail,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
f41169ad-3017-51f4-bee9-5e8a159536e5,IfcFooting,foundation - bridge rail,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
f1cb73e8-7d36-571c-9ac2-9ed1e26ccac6,IfcFooting,foundation - bridge rail,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
1e338b47-26f9-501f-a67c-13f65b47a96a,IfcFooting,foundation - bridge rail,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
b73089e2-ddc5-5685-83b1-90a3703b0382,IfcSlab,floor,Floors,0.9,,,,PENDING,,
6e9a5f25-41c9-5e06-ad10-b978bc041f3b,IfcSlab,house - roof - slab left,Roof,0.9,,,,PENDING,,
6b740cfe-05f4-5f54-9bf3-86f5e61aa2a4,IfcSlab,house - roof - slab right,Roof,0.9,,,,PENDING,,
08d7aac3-f2fc-50e2-88e0-579ada8c22a7,IfcRoof,house - roof,Roof,0.9,,,,PENDING,,
e2f94cf4-009e-5206-8075-e6f8eecc196b,IfcWall,house - outer wall - house right front,Internal walls,0.9,,,,PENDING,,
40f07bd3-cf13-5a40-9b24-79dfff96626e,IfcWall,house - outer wall - house right back,Internal walls,0.9,,,,PENDING,,
69e143da-7417-56b9-a331-4fe5afcd61f1,IfcWall,house - outer wall - house left,Internal walls,0.9,,,,PENDING,,
e51b7094-ee65-52cf-8f8c-6c31b3dca2b9,IfcWall,plumbing wall,Internal walls,0.9,,,,PENDING,,
94415f09-6e4a-5ff2-931e-6f94670f55a6,IfcAirTerminal,chimney cover,Air Terminals / Grilles,0.9,,,,PENDING,,
3337194f-1b79-5b47-9349-4ca99727faad,IfcAirTerminal,house fireplace cap,Air Terminals / Grilles,0.9,,,,PENDING,,
2712f229-45ca-50c9-b37c-9ebddeeb5a64,IfcBeam,girder,Beam (Concrete),0.9,,,,PENDING,,
35d820e8-f929-5abe-88c7-ab209c1f020d,IfcBeam,girder,Beam (Concrete),0.9,,,,PENDING,,
71961636-f512-5293-bdab-b41db35ab907,IfcBeam,girder,Beam (Concrete),0.9,,,,PENDING,,
d6977c35-f1fd-54af-a8e5-74659b436fe6,IfcBeam,girder,Beam (Concrete),0.9,,,,PENDING,,
5e127ea1-4fc2-58e6-a4a4-1570a3ab2c80,IfcBeam,girder,Beam (Concrete),0.9,,,,PENDING,,
4624633a-7ff0-5d4e-a4a0-4123233118e0,IfcBeam,girder,Beam (Concrete),0.9,,,,PENDING,,
