asset_id,ifc_class,name,canonical_class,class_confidence,flags,primary_flag,true_class,review_status,reviewer_notes,review_timestamp
d6977c35-f1fd-54af-a8e5-74659b436fe6,IfcBeam,girder,Beam (Concrete),0.9,,,,PENDING,,
f4f96304-b0a3-5a79-b596-c501acb47373,IfcFooting,foundation - bridge road,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
35d820e8-f929-5abe-88c7-ab209c1f020d,IfcBeam,girder,Beam (Concrete),0.9,,,,PENDING,,
c0706438-62d1-53ac-9f7f-8eda20a1ff1a,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
92fff777-c6b4-568d-8290-c7407684c7a5,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
fa131d94-af27-58a2-9eaa-f07bf3c75c1a,IfcWall,house - outer wall - house front right,Internal walls,0.9,,,,PENDING,,
472e4f9c-8c70-5296-ae35-59e5b70b8d72,IfcBeam,road river bridge - main girder,Beam (Concrete),0.9,,,,PENDING,,
6bc94901-5dd2-5634-b618-745fa1bb98fd,IfcRailing,bridge road railing,Railings,0.9,,,,PENDING,,
9aa075ed-dbf3-5b8d-aada-379831cc577f,IfcColumn,rail bridge - pierstem,Columns (Concrete),0.9,,,,PENDING,,
e352e020-8d16-59ff-997b-f4bd862608f2,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
3337194f-1b79-5b47-9349-4ca99727faad,IfcAirTerminal,house fireplace cap,Air Terminals / Grilles,0.9,,,,PENDING,,
d6d48679-69cc-5969-9b2b-b4800e3cbe80,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
60d85130-fb34-548b-bf42-735c96ca157c,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
5fd628f9-2bb1-5ab3-80bd-9fbb4fe726ad,IfcRailing,bridge road railing,Railings,0.9,,,,PENDING,,
3e459c0b-9aef-5b08-a60e-f13d4f5cf8b2,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
69e143da-7417-56b9-a331-4fe5afcd61f1,IfcWall,house - outer wall - house left,Internal walls,0.9,,,,PENDING,,
6e9a5f25-41c9-5e06-ad10-b978bc041f3b,IfcSlab,house - roof - slab left,Roof,0.9,,,,PENDING,,
cc407e00-55a5-5aff-9a3b-415cab6f39d3,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
1e338b47-26f9-501f-a67c-13f65b47a96a,IfcFooting,foundation - bridge rail,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
d5b5acca-cd7d-5f81-bad6-f0bc50aa7dce,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
55b7c5d4-cf47-5456-ab46-eda8a1e18e97,IfcSlab,Test Slab,Floors,0.9,,,,PENDING,,
00d1b950-f44c-51a2-9527-743a7edd4a09,IfcWall,house - outer wall - house front,Internal walls,0.9,,,,PENDING,,
11875ac0-acb0-5729-a0b0-97c6843153b3,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
71961636-f512-5293-bdab-b41db35ab907,IfcBeam,girder,Beam (Concrete),0.9,,,,PENDING,,
07a97583-6e4e-555a-8528-514ff8e1a3f8,IfcFooting,house - foundation,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
08d7aac3-f2fc-50e2-88e0-579ada8c22a7,IfcRoof,house - roof,Roof,0.9,,,,PENDING,,
5d313555-184b-5aed-b54e-b87e41bbc01d,IfcBeam,road river bridge - main girder,Beam (Concrete),0.9,,,,PENDING,,
a6a31fcd-a863-55c2-9930-331ce3dc3b7c,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
9e138146-8365-53de-9cb5-148593228cbe,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
e2f94cf4-009e-5206-8075-e6f8eecc196b,IfcWall,house - outer wall - house right front,Internal walls,0.9,,,,PENDING,,
1dfbcf63-b717-55b9-941a-6abcb95655bd,IfcColumn,road river bridge pierstem,Columns (Concrete),0.9,,,,PENDING,,
c01b58fd-47cc-58ad-9fcb-5713c1009a66,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
33da0650-8a3e-590b-8c7c-091f703cdf81,IfcWall,rail bridge - spandrel wall,Internal walls,0.9,,,,PENDING,,
90977368-ea0d-56e4-b186-e5d611dec383,IfcDoor,Test Door,Doors,0.9,,,,PENDING,,
9f639363-e275-5422-b9c6-06c4d88fd08b,IfcColumn,rail bridge - pierstem,Columns (Concrete),0.9,,,,PENDING,,
b73089e2-ddc5-5685-83b1-90a3703b0382,IfcSlab,floor,Floors,0.9,,,,PENDING,,
08d7aac3-f2fc-50e2-88e0-579ada8c22a7,IfcRoof,house - roof,Roof,0.9,,,,PENDING,,
688596f8-49f6-5504-b899-bc749577dcb1,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
dd404b51-0c16-5e89-9b21-b9c8769ffd51,IfcSlab,bridge road - approach slab,Slabs,0.9,,,,PENDING,,
604d45bb-1499-5fde-9c53-d43bf79bbae4,IfcWall,house - outer wall - house back,Internal walls,0.9,,,,PENDING,,
2712f229-45ca-50c9-b37c-9ebddeeb5a64,IfcBeam,girder,Beam (Concrete),0.9,,,,PENDING,,
f1cb73e8-7d36-571c-9ac2-9ed1e26ccac6,IfcFooting,foundation - bridge rail,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
29b0c1ae-294b-5c65-889e-c43b8a9497b3,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
cc451cbe-7bd8-518d-a129-00f4ba813a00,IfcColumn,Test Column,Columns (Concrete),0.9,,,,PENDING,,
3a185042-e8c1-5ed1-b8c0-a566ea45389b,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
bfc0397f-14bf-573d-95ac-e50634284337,IfcSlab,bridge road - approach slab,Slabs,0.9,,,,PENDING,,
6de95f5c-2842-5bb1-afeb-904b9ae063e1,IfcBeam,road river bridge - abutment support beam,Beam (Concrete),0.9,,,,PENDING,,
0a6453d4-2a5a-5b5a-831e-849b93c2efbf,IfcSlab,road river bridge - bridge deck,Slabs,0.9,,,,PENDING,,
63c9fbf8-57f4-5885-b11b-4e1f442e1f85,IfcColumn,rail bridge - pierstem,Columns (Concrete),0.9,,,,PENDING,,
e4877e0a-552a-5d6b-8465-5eb84476ce77,IfcPipeSegment,sewer pipe,Piping,0.9,,,,PENDING,,
