asset_id,ifc_class,name,canonical_class,class_confidence,flags,primary_flag,true_class,review_status,reviewer_notes,review_timestamp
1b31ec19-5744-542a-bcda-5e349c73815e,IfcBeam,Rectangular(Timber)-Beam:Timber_50 x150 _ContentGenerator:1417335,Beam (Concrete),0.9,,,,PENDING,,
03015402-97da-584a-8ef1-f36f51fe1a5a,IfcBeam,Rectangular(Timber)-Beam:Timber_50 x200:1175875,Beam (Concrete),0.9,,,,PENDING,,
90a07882-129a-59fb-baa2-2d3bf5f81de1,IfcPipeSegment,Pipe Types:Standard:606557,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
b1555b17-6921-512d-a7f8-f4f1bc3052e7,IfcPipeSegment,Pipe Types:Standard:530228,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
eb07d057-bf7f-5628-8095-a1fb9c108c7c,IfcPipeSegment,Pipe Types:Standard:527462,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
c160d438-e4d3-5eaf-89b3-a6eeff957690,IfcWall,Basic Wall:MW 11.5:580926,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
db8877f8-0d3f-53a1-a947-b54b56aa274b,IfcLightFixture,M_Plain Recessed Lighting Fixture:600x600 - 277:499968,Lighting Fixture,0.9,,,,PENDING,,
a410b55b-de8c-5dfc-9c2d-c746c1ec5459,IfcLightFixture,M_Sconce Light - Flat Round:60W - 277V:505841,Lighting Fixture,0.9,,,,PENDING,,
23db8e29-38e3-517a-8066-ce469276d218,IfcPipeFitting,M_Pipe Elbow:Standard:529682,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
d2367fa7-43ec-516a-a9f4-5baa6165ff68,IfcFooting,foundation - bridge rail,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
8119d050-2cf8-51c1-a80b-f9fc79610a23,IfcPipeSegment,Pipe Types:Standard:732495,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
d290ea2e-a682-5f5a-88a9-1b97ed2687f5,IfcColumn,STB Stütze - rund:STB d=30:573505,Columns (Concrete),0.9,,,,PENDING,,
a107c00f-3d05-543d-b208-34080ea2c0f9,IfcBeam,Rectangular(Timber)-Beam:Timber_50 x200:1196833,Beam (Concrete),0.9,,,,PENDING,,
269f7d98-db36-5056-aee6-2b6a64745289,IfcPipeSegment,Pipe Types:Standard:531039,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
751c8614-9ed9-5ac8-bd02-11aaa0c86e66,IfcLightFixture,M_Sconce Light - Flat Round:60W - 277V:502640,Lighting Fixture,0.9,,,,PENDING,,
61acbb60-f0c7-5f1a-b4fd-185b51fbfec1,IfcLightFixture,M_Plain Recessed Lighting Fixture:600x600 - 277:540371,Lighting Fixture,0.9,,,,PENDING,,
48ff8f75-ee48-5bad-abfd-655ee6f60abe,IfcPipeFitting,M_Elbow - Generic:Standard:733063,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
b4438120-e355-5ec2-811f-6ff3bb0f7d40,IfcPipeSegment,Pipe Types:Standard:530107,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
a78f8960-f536-5235-8277-03ff4e4dd831,IfcWindow,Single Window:Standard:554383,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
408cfeca-fea9-52d6-a2d5-6e2584934838,IfcPipeSegment,Pipe Types:Standard:591856,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
4f372774-ad42-56b5-b5e3-bad7755bbdac,IfcDoor,Türelement 1-flg - Drehflügel - Glas:Türelement 1-flg - Drehflügel - Glas:575891,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
1584ab26-af5b-529c-a8f6-718f3654f40d,IfcLightFixture,M_Plain Recessed Lighting Fixture:600x600 - 277:499301,Lighting Fixture,0.9,,,,PENDING,,
24303d07-70bb-5f39-997a-c5fd1f465d0f,IfcLightFixture,M_Plain Recessed Lighting Fixture:600x600 - 277:432645,Lighting Fixture,0.9,,,,PENDING,,
e250a5d5-a8e4-513a-9726-9e35b6a0224e,IfcPipeFitting,M_Pipe Transition:Standard:529737,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
1c07e625-5bf5-57ee-be3b-a3181d71105f,IfcPipeFitting,M_Pipe Elbow:Standard:528142,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
6e930b67-c668-5205-a772-69367afd1684,IfcBeam,Rectangular(Timber)-Beam:Timber_50 x200:1196821,Beam (Concrete),0.9,,,,PENDING,,
f41169ad-3017-51f4-bee9-5e8a159536e5,IfcFooting,foundation - bridge rail,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
15696e3c-cb52-5a5a-8206-2ae0c69a961f,IfcPipeFitting,M_Tee Sanitary - PVC - Sch 40 - DWV:Standard:605224,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
03338c80-74fe-51f0-b0e8-d421f102bb9e,IfcPipeFitting,M_Elbow - Generic:Standard:734495,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
5f885d48-3776-5bb7-b2f2-1f99c1bbac0c,IfcPipeFitting,M_Pipe Elbow:Standard:545866,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
bae020cd-9b24-570b-a48c-7ff7114619e2,IfcLightFixture,M_Pendant Light - Linear - 2 Lamp:1200mm - 277V:446727,Lighting Fixture,0.9,,,,PENDING,,
ed7e36f2-da13-5a98-8d78-442f358346d2,IfcWall,Basic Wall:MW 11.5:573786,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
50266b2f-a23c-5974-905d-de88025d6cbf,IfcBeam,Light Gauge-Joists:SC15012:1046302,Beam (Concrete),0.9,NEGATIVE_VALUE,NEGATIVE_VALUE,,PENDING,,
0d9cfc0f-bcdd-54b0-80af-49e60e358dfd,IfcColumn,STB Stütze - rund:STB d=30:573348,Columns (Concrete),0.9,,,,PENDING,,
966c2a3e-03ba-5ddb-8896-e8273d7f7de2,IfcBeam,Rectangular(Timber)-Beam:Timber_50 x150 _ContentGenerator:1417358,Beam (Concrete),0.9,,,,PENDING,,
28b61523-1e30-5b4a-a276-84bd70af6385,IfcPipeFitting,M_Tee - Generic:Standard:733081,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
2fbfd42a-1828-5225-aabe-62ae03c11804,IfcWall,Basic Wall:MW 11.5:578648,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
3a185042-e8c1-5ed1-b8c0-a566ea45389b,IfcPipeSegment,sewer pipe,,0.5,LOW_AI_CONF,LOW_AI_CONF,,PENDING,,
