uid,ifc_class,name,tier_label,neighbor_count,top1_title,top1_score,top1_source,top1_path
IfcSlab-3zR0BOEcLADRKln4HYporH,IfcSlab,floor,Slabs,1,ifcslab,19.627146509538697,ifc_schema,ifcsharedbldgelements/lexical/ifcslab.htm
IfcSlab-0ZTBBPo6f6bxqV2K7Oelrq,IfcSlab,house - roof - slab left,Slabs,1,ifcslab,26.15997727719858,ifc_schema,ifcsharedbldgelements/lexical/ifcslab.htm
IfcSlab-12UVOn4wvAJPMUExKdZLb8,IfcSlab,house - roof - slab right,Slabs,1,ifcslab,26.15997727719858,ifc_schema,ifcsharedbldgelements/lexical/ifcslab.htm
IfcRoof-2iPwJwpPDCSgMheXwk9cBT,IfcRoof,house - roof,Roof,3,ifcroof,28.2480643337546,ifc_schema,ifcsharedbldgelements/lexical/ifcroof.htm
IfcWall-1AQAupaRP1txwK1AGiN61V,IfcWall,house - outer wall - house right front,External walls (façade),1,External walls (façade),36.79451959077194,uniclass,Top_Elements_To_Classify.xlsx
IfcWall-3wdauVJT5Fx9drrREiDqA$,IfcWall,house - outer wall - house right back,External walls (façade),1,External walls (façade),36.79451959077194,uniclass,Top_Elements_To_Classify.xlsx
IfcWall-0OfZwWc8j9QP5uX8xPTxDH,IfcWall,house - outer wall - house left,External walls (façade),1,External walls (façade),36.79451959077194,uniclass,Top_Elements_To_Classify.xlsx
IfcWall-1uS5vfZPn9R8PlAaVd73on,IfcWall,plumbing wall,External walls (façade),1,External walls (façade),36.79451959077194,uniclass,Top_Elements_To_Classify.xlsx
IfcAirTerminal-23uPJWDfXEcwHH3kdFgV9c,IfcAirTerminal,chimney cover,Air Terminals / Grilles,1,Air Terminals / Grilles,25.742970493496472,uniclass,Top_Elements_To_Classify.xlsx
IfcAirTerminal-34Y6EIt3nDCAS1k$kPGOKm,IfcAirTerminal,house fireplace cap,Air Terminals / Grilles,1,Air Terminals / Grilles,25.742970493496472,uniclass,Top_Elements_To_Classify.xlsx
IfcFooting-0pFmhV8oD1dB40_b4pscr8,IfcFooting,house - foundation,Foundations_Piles+Footings,1,Foundations_Piles+Footings,22.456572749294494,uniclass,Top_Elements_To_Classify.xlsx
IfcBeam-0fqX614OH1YO1Njdxms2$Q,IfcBeam,girder,Beam (Concrete),1,ifcbeam,14.599638396733209,ifc_schema,ifcsharedbldgelements/lexical/ifcbeam.htm
IfcBeam-0rh7bRO0L9fg1NzgGKU$Ut,IfcBeam,girder,Beam (Concrete),1,ifcbeam,14.599638396733209,ifc_schema,ifcsharedbldgelements/lexical/ifcbeam.htm
IfcBeam-3roxUKbVv98xiUcl22_T07,IfcBeam,girder,Beam (Concrete),1,ifcbeam,14.599638396733209,ifc_schema,ifcsharedbldgelements/lexical/ifcbeam.htm
IfcBeam-0Lvk$Qa81D5et3l3a4S9Vk,IfcBeam,girder,Beam (Concrete),1,ifcbeam,14.599638396733209,ifc_schema,ifcsharedbldgelements/lexical/ifcbeam.htm
IfcBeam-2ddLgAnQf4mBfh5IpUp54U,IfcBeam,girder,Beam (Concrete),1,ifcbeam,14.599638396733209,ifc_schema,ifcsharedbldgelements/lexical/ifcbeam.htm
IfcBeam-2fjJuPht9EIQaZQYZfC1Op,IfcBeam,girder,Beam (Concrete),1,ifcbeam,14.599638396733209,ifc_schema,ifcsharedbldgelements/lexical/ifcbeam.htm
IfcRoof-2iPwJwpPDCSgMheXwk9cBT,IfcRoof,house - roof,Roof,9,ifcroof,28.2480643337546,ifc_schema,ifcsharedbldgelements/lexical/ifcroof.htm
IfcWall-0DyViLJJ175RvWQi1rE7a6,IfcWall,house - outer wall - house back,External walls (façade),1,External walls (façade),36.79451959077194,uniclass,Top_Elements_To_Classify.xlsx
IfcWall-3SGBcf7Lv0r80vKtUCgOpf,IfcWall,house - outer wall - house front,External walls (façade),1,External walls (façade),36.79451959077194,uniclass,Top_Elements_To_Classify.xlsx
IfcWall-3oNJ9yHi5FJuFnK8yg68Yt,IfcWall,house - outer wall - house front right,External walls (façade),1,External walls (façade),36.79451959077194,uniclass,Top_Elements_To_Classify.xlsx
IfcWall-2gTJhghMT81QThk15l2VwR,IfcWall,house - inner wall,External walls (façade),1,External walls (façade),36.79451959077194,uniclass,Top_Elements_To_Classify.xlsx
IfcSlab-0W_tPyzHXFtwl0O2DZZAe3,IfcSlab,bridge road - approach slab,Slabs,1,ifcslab,22.260838910290943,ifc_schema,ifcsharedbldgelements/lexical/ifcslab.htm
IfcSlab-01itnAmhP3LAz9aL2vu3YJ,IfcSlab,bridge road - approach slab,Slabs,1,ifcslab,22.260838910290943,ifc_schema,ifcsharedbldgelements/lexical/ifcslab.htm
IfcSlab-3ObOfBTNz2dhgWxUzdmDpl,IfcSlab,road river bridge - bridge deck,Slabs,1,ifccivilelement,19.408369209000554,ifc_schema,ifcproductextension/lexical/ifccivilelement.htm
IfcFooting-1iUk9ABeL9eBJ7Sv9b$q0d,IfcFooting,foundation - bridge road,Foundations_Piles+Footings,1,Foundations_Piles+Footings,22.456572749294494,uniclass,Top_Elements_To_Classify.xlsx
IfcFooting-3kDaIrka18GwgJ2ayJZMBO,IfcFooting,foundation - bridge road,Foundations_Piles+Footings,1,Foundations_Piles+Footings,22.456572749294494,uniclass,Top_Elements_To_Classify.xlsx
IfcFooting-0NMvtFx717oPAWTAMXwXAy,IfcFooting,foundation - bridge road,Foundations_Piles+Footings,1,Foundations_Piles+Footings,22.456572749294494,uniclass,Top_Elements_To_Classify.xlsx
IfcFooting-3QqyCHEVDF$gkEh307F1yY,IfcFooting,foundation - bridge rail,Foundations_Piles+Footings,1,Foundations_Piles+Footings,22.456572749294494,uniclass,Top_Elements_To_Classify.xlsx
IfcFooting-3N1IPEdwr8ovT_ZOobkqBX,IfcFooting,foundation - bridge rail,Foundations_Piles+Footings,1,Foundations_Piles+Footings,22.456572749294494,uniclass,Top_Elements_To_Classify.xlsx
